block_size,grid_scale_x,use_shared,use_unroll,register_limit,work_per_thread,stride_access,threads_per_block,gflops,msec_per_matmul,pass_fail,avg_power_watts,exec_time_sec,power_log_duration,exit_code,cuda_error_str,power_log_path
4,1.0,1,0,64,4,1,16,118.483414,0.008643,PASS,41.885,0.302,61,0,,power_logs_all_configs/power_b4_g1.0_s1_u0_r64_w4_str1.log
4,1.0,1,0,64,4,2,16,96.277277,0.010636,FAIL,41.868,0.307,61,1,,power_logs_all_configs/power_b4_g1.0_s1_u0_r64_w4_str2.log
4,1.0,1,0,128,1,1,16,19.186492,0.013343,PASS,41.927,0.299,61,0,,power_logs_all_configs/power_b4_g1.0_s1_u0_r128_w1_str1.log
4,1.0,1,0,128,1,2,16,23.954007,0.010687,FAIL,42.046,0.299,61,1,,power_logs_all_configs/power_b4_g1.0_s1_u0_r128_w1_str2.log
4,1.0,1,0,128,2,1,16,62.323094,0.008215,PASS,42.103,0.306,61,0,,power_logs_all_configs/power_b4_g1.0_s1_u0_r128_w2_str1.log
4,1.0,1,0,128,2,2,16,48.449612,0.010568,FAIL,42.072,0.305,61,1,,power_logs_all_configs/power_b4_g1.0_s1_u0_r128_w2_str2.log
4,1.0,1,0,128,4,1,16,118.577076,0.008636,PASS,42.035,0.302,61,0,,power_logs_all_configs/power_b4_g1.0_s1_u0_r128_w4_str1.log
4,1.0,1,0,128,4,2,16,96.277277,0.010636,FAIL,42.099,0.311,61,1,,power_logs_all_configs/power_b4_g1.0_s1_u0_r128_w4_str2.log
4,1.0,1,1,32,1,1,16,20.177563,0.012687,PASS,42.087,0.301,61,0,,power_logs_all_configs/power_b4_g1.0_s1_u1_r32_w1_str1.log
4,1.0,1,1,32,1,2,16,35.868004,0.007137,FAIL,42.141,0.302,61,1,,power_logs_all_configs/power_b4_g1.0_s1_u1_r32_w1_str2.log
4,1.0,1,1,32,2,1,16,35.511363,0.014418,PASS,42.156,0.308,61,0,,power_logs_all_configs/power_b4_g1.0_s1_u1_r32_w2_str1.log
4,1.0,1,1,32,2,2,16,54.073543,0.009469,FAIL,42.340,0.300,61,1,,power_logs_all_configs/power_b4_g1.0_s1_u1_r32_w2_str2.log
4,1.0,1,1,32,4,1,16,69.332100,0.014769,PASS,42.065,0.248,61,0,,power_logs_all_configs/power_b4_g1.0_s1_u1_r32_w4_str1.log
4,1.0,1,1,32,4,2,16,107.605218,0.009516,FAIL,50.101,0.311,61,1,,power_logs_all_configs/power_b4_g1.0_s1_u1_r32_w4_str2.log
4,1.0,1,1,64,1,1,16,12.427506,0.020599,PASS,43.246,0.294,61,0,,power_logs_all_configs/power_b4_g1.0_s1_u1_r64_w1_str1.log
4,1.0,1,1,64,1,2,16,35.971222,0.007117,FAIL,42.016,0.238,61,1,,power_logs_all_configs/power_b4_g1.0_s1_u1_r64_w1_str2.log
4,1.0,1,1,64,2,1,16,36.188178,0.014148,PASS,42.136,0.237,61,0,,power_logs_all_configs/power_b4_g1.0_s1_u1_r64_w2_str1.log
4,1.0,1,1,64,2,2,16,54.093043,0.009465,FAIL,42.036,0.235,61,1,,power_logs_all_configs/power_b4_g1.0_s1_u1_r64_w2_str2.log
4,1.0,1,1,64,4,1,16,72.098059,0.014203,PASS,41.960,0.240,61,0,,power_logs_all_configs/power_b4_g1.0_s1_u1_r64_w4_str1.log
4,1.0,1,1,64,4,2,16,108.348483,0.009451,FAIL,42.030,0.197,61,1,,power_logs_all_configs/power_b4_g1.0_s1_u1_r64_w4_str2.log
4,1.0,1,1,128,1,1,16,20.226537,0.012657,PASS,42.070,0.248,61,0,,power_logs_all_configs/power_b4_g1.0_s1_u1_r128_w1_str1.log
4,1.0,1,1,128,1,2,16,35.974456,0.007116,FAIL,42.071,0.238,61,1,,power_logs_all_configs/power_b4_g1.0_s1_u1_r128_w1_str2.log
4,1.0,1,1,128,2,1,16,36.170725,0.014155,PASS,42.024,0.236,61,0,,power_logs_all_configs/power_b4_g1.0_s1_u1_r128_w2_str1.log
4,1.0,1,1,128,2,2,16,54.112556,0.009462,FAIL,41.854,0.239,61,1,,power_logs_all_configs/power_b4_g1.0_s1_u1_r128_w2_str2.log
4,1.0,1,1,128,4,1,16,72.150073,0.014193,PASS,41.863,0.239,61,0,,power_logs_all_configs/power_b4_g1.0_s1_u1_r128_w4_str1.log
4,1.0,1,1,128,4,2,16,108.225113,0.009462,FAIL,41.864,0.238,61,1,,power_logs_all_configs/power_b4_g1.0_s1_u1_r128_w4_str2.log
4,1.5,0,0,32,1,1,16,20.221083,0.012660,PASS,41.714,0.228,61,0,,power_logs_all_configs/power_b4_g1.5_s0_u0_r32_w1_str1.log
4,1.5,0,0,32,1,2,16,28.835063,0.008878,FAIL,41.799,0.187,61,1,,power_logs_all_configs/power_b4_g1.5_s0_u0_r32_w1_str2.log
4,1.5,0,0,32,2,1,16,76.923078,0.006656,PASS,41.658,0.226,61,0,,power_logs_all_configs/power_b4_g1.5_s0_u0_r32_w2_str1.log
4,1.5,0,0,32,2,2,16,59.476604,0.008608,FAIL,41.711,0.226,61,1,,power_logs_all_configs/power_b4_g1.5_s0_u0_r32_w2_str2.log
4,1.5,0,0,32,4,1,16,139.340445,0.007349,PASS,41.758,0.225,61,0,,power_logs_all_configs/power_b4_g1.5_s0_u0_r32_w4_str1.log
4,1.5,0,0,32,4,2,16,116.784058,0.008768,FAIL,41.772,0.227,61,1,,power_logs_all_configs/power_b4_g1.5_s0_u0_r32_w4_str2.log
4,1.5,0,0,64,1,1,16,20.565728,0.012448,PASS,41.874,0.230,61,0,,power_logs_all_configs/power_b4_g1.5_s0_u0_r64_w1_str1.log
4,1.5,0,0,64,1,2,16,29.015295,0.008823,FAIL,41.918,0.233,61,1,,power_logs_all_configs/power_b4_g1.5_s0_u0_r64_w1_str2.log
4,1.5,0,0,64,2,1,16,75.190328,0.006809,PASS,41.746,0.238,61,0,,power_logs_all_configs/power_b4_g1.5_s0_u0_r64_w2_str1.log
4,1.5,0,0,64,2,2,16,58.320371,0.008779,FAIL,41.643,0.234,61,1,,power_logs_all_configs/power_b4_g1.5_s0_u0_r64_w2_str2.log
4,1.5,0,0,64,4,1,16,144.094375,0.007106,PASS,41.658,0.236,61,0,,power_logs_all_configs/power_b4_g1.5_s0_u0_r64_w4_str1.log
4,1.5,0,0,64,4,2,16,116.058363,0.008823,FAIL,41.726,0.233,61,1,,power_logs_all_configs/power_b4_g1.5_s0_u0_r64_w4_str2.log
4,1.5,0,0,128,1,1,16,20.570487,0.012445,PASS,41.807,0.235,61,0,,power_logs_all_configs/power_b4_g1.5_s0_u0_r128_w1_str1.log
4,1.5,0,0,128,1,2,16,29.015295,0.008823,FAIL,41.793,0.237,61,1,,power_logs_all_configs/power_b4_g1.5_s0_u0_r128_w1_str2.log
4,1.5,0,0,128,2,1,16,75.144418,0.006814,PASS,41.898,0.197,61,0,,power_logs_all_configs/power_b4_g1.5_s0_u0_r128_w2_str1.log
4,1.5,0,0,128,2,2,16,58.297705,0.008783,FAIL,41.865,0.233,61,1,,power_logs_all_configs/power_b4_g1.5_s0_u0_r128_w2_str2.log
4,1.5,0,0,128,4,1,16,143.953930,0.007113,PASS,41.856,0.235,61,0,,power_logs_all_configs/power_b4_g1.5_s0_u0_r128_w4_str1.log
4,1.5,0,0,128,4,2,16,116.189002,0.008813,FAIL,41.832,0.191,61,1,,power_logs_all_configs/power_b4_g1.5_s0_u0_r128_w4_str2.log
4,1.5,0,1,32,1,1,16,23.357210,0.010960,PASS,41.716,0.238,61,0,,power_logs_all_configs/power_b4_g1.5_s0_u1_r32_w1_str1.log
4,1.5,0,1,32,1,2,16,45.759610,0.005594,FAIL,41.692,0.234,61,1,,power_logs_all_configs/power_b4_g1.5_s0_u1_r32_w1_str2.log
4,1.5,0,1,32,2,1,16,39.861812,0.012844,PASS,41.679,0.238,61,0,,power_logs_all_configs/power_b4_g1.5_s0_u1_r32_w2_str1.log
4,1.5,0,1,32,2,2,16,65.766039,0.007785,FAIL,41.660,0.193,61,1,,power_logs_all_configs/power_b4_g1.5_s0_u1_r32_w2_str2.log
4,1.5,0,1,32,4,1,16,78.269590,0.013083,PASS,41.727,0.238,61,0,,power_logs_all_configs/power_b4_g1.5_s0_u1_r32_w4_str1.log
4,1.5,0,1,32,4,2,16,129.143350,0.007929,FAIL,41.724,0.234,61,1,,power_logs_all_configs/power_b4_g1.5_s0_u1_r32_w4_str2.log
4,1.5,0,1,64,1,1,16,23.372678,0.010953,PASS,41.777,0.192,61,0,,power_logs_all_configs/power_b4_g1.5_s0_u1_r64_w1_str1.log
